,%top,ER1,ER2,ER3,ER4,ER5,ER6,ER7,EZ,LMW,LVR1,LVR1+4,LVR1+4/3+6,LVR2,LVR3,LVR3+6,LVR4,LVR5,LVR6,LVR7,LVWhole,RS,Rh source,SStoutR1,SStoutR2,SStoutR3,SStoutR4,Type,VB,boron reagent,equivs boron reagent,ligand,mol% Rh,mol% ligand,solvent,substrate,temp,time,yield
19,1.75,-0.01,0,0,-0.01,0,0,0,0,258.1408506,76.88830503,153.7766101,153.7766101,0,0,0,76.88830503,0,0,32.69197045,258.3586561,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.20,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1,97
20,8.5,-0.03,0,0,-0.03,0,0,0,0,286.1721507,94.18429025,188.3685805,188.3685805,0,0,0,94.18429025,0,0,32.69197045,292.9506265,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.158,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1,97
21,3,-0.09,0,0,-0.09,0,0,0,0,394.1156198,112.3869671,224.7739342,224.7739342,0,0,0,112.3869671,0,0,32.69197045,329.3559802,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.159,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1,96
22,2.5,-0.08,0,0,-0.08,0,0,0,0,318.1619799,102.9745172,205.9490344,205.9490344,0,0,0,102.9745172,0,0,32.69197045,310.5310804,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.160,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1,99
23,9.5,-0.09,0,0,-0.09,0,0,0,0,314.2034508,111.4802755,222.9605509,222.9605509,0,0,0,111.4802755,0,0,32.69197045,327.5425969,1,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.161,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1,99
24,97.5,0,0,-0.16,0,0,-0.16,0,0,144.0939004,0,0,0,0,36.23374097,72.46748195,0,0,36.23374097,20.25598522,163.5535427,0,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.6,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,4.5,72
25,97.5,0,0,-0.12,0,0,-0.12,0,0,204.1878008,0,0,0,0,73.46217037,146.9243407,0,0,73.46217037,20.25598522,238.0104015,0,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.7,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,5,80
26,97.5,0,0,-0.15,0,0,-0.15,0,0,256.2191009,0,0,0,0,95.69768187,191.3953637,0,0,95.69768187,20.25598522,282.4814245,0,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.8,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,16,94
27,98,0,0,-0.09,0,0,-0.09,0,0,272.1565006,0,0,0,0,94.18429025,188.3685805,0,0,94.18429025,20.25598522,279.4546413,0,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.9,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1.5,95
28,2.5,0,0,0,-0.17,0,0,-0.15,0,192.1514153,30.36444165,51.93865635,51.93865635,0,0,0,21.5742147,0,0,84.57992612,208.408658,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,1.5,L3.73,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1,96
29,0.86,0,0,0,-0.17,0,0,-0.15,0,220.1827154,64.9564121,86.53062679,86.53062679,0,0,0,21.5742147,0,0,84.57992612,243.0006285,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,1.5,L3.74,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1,90
30,3,0.01,0,0,-0.17,0,0,-0.15,0,206.1670653,47.66042687,69.23464157,69.23464157,0,0,0,21.5742147,0,0,84.57992612,225.7046432,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,1.5,L3.75,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1,88
31,0.4,0,0,0,-0.17,0,0,-0.15,0,234.1983655,82.25239732,103.826612,103.826612,0,0,0,21.5742147,0,0,84.57992612,260.2966137,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,1.5,L3.76,1.5,3.3,dioxane/water ,O=C1CCCC=C1,30,1,90
32,6.75,0.45,0,0,-0.17,0,0,-0.15,0,220.1463299,53.81419488,75.38840957,75.38840957,0,0,0,21.5742147,0,0,84.57992612,231.8584112,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,1.5,L3.77,1.5,3.3,dioxane/water ,O=C1CCCC=C1,20,3,93
33,2.5,0.26,-0.17,0,0.26,0,0,-0.17,0,376.1423071,102.8290606,205.6581212,205.6581212,0,0,0,102.8290606,21.5742147,0,54.84795567,348.6321376,1,[Rh(C2H4)2Cl]2,22.51198396,18.72206172,0,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.14,0.25,0.6,EtOH,O=C1C=CCCCC1,30,1.5,100
34,5.5,0.26,-0.17,0,0.26,0,0,-0.17,0,376.1423071,102.8290606,205.6581212,205.6581212,0,0,0,102.8290606,21.5742147,0,54.84795567,348.6321376,1,[Rh(C2H4)2Cl]2,22.51198396,18.72206172,0,0,Lam,151.9199836,CC1=CC=C(B(O)O)C=C1,2,L3.14,0.25,0.6,EtOH,O=C1C=CCCCC1,30,1.5,100
35,2,0.26,-0.17,0,0.26,0,0,-0.17,0,376.1423071,102.8290606,205.6581212,205.6581212,0,0,0,102.8290606,21.5742147,0,54.84795567,348.6321376,1,[Rh(C2H4)2Cl]2,18.25910483,38.87019992,0,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.14,0.25,0.6,EtOH,O=C1C=CCCO1,30,2,43
36,5.75,0.26,-0.17,0,0.26,0,0,-0.17,0,376.1423071,102.8290606,205.6581212,205.6581212,0,0,0,102.8290606,21.5742147,0,54.84795567,348.6321376,1,[Rh(C2H4)2Cl]2,18.25910483,38.87019992,0,0,Lam,151.9199836,CC1=CC=C(B(O)O)C=C1,2,L3.14,0.25,0.6,EtOH,O=C1C=CCCO1,30,2,38
37,95,0,0,0,0,-0.17,-0.01,-0.27,0,240.1514153,0,0,0,0,0,76.88830503,0,21.5742147,76.88830503,76.07416785,246.4267631,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.40,1,2.2,MeOH/CH2Cl2,O=C1CCCC=C1,25,20,90
38,98,0,0,0,0,-0.17,-0.01,-0.27,0,254.1670653,0,0,0,0,0,94.18429025,0,21.5742147,94.18429025,76.07416785,263.7227483,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.41,1,2.2,MeOH/CH2Cl2,O=C1CCCC=C1,25,20,88
39,96.5,0,0,0,0,-0.17,0,-0.27,0,268.1463299,0,0,0,0,0,100.3380583,0,21.5742147,100.3380583,76.07416785,269.8765164,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.42,1,2.2,MeOH/CH2Cl2,O=C1CCCC=C1,25,20,90
